datetime_utc,id,text,retweets,favorites
2016-11-27 20:30:00+00:00,802972944532209664,"In addition to winning the Electoral College in a landslide, I won the popular vote if you deduct the millions of people who voted illegally",42551,135478
2016-11-27 20:34:00+00:00,802973848022847489,It would have been much easier for me to win the so-called popular vote than the Electoral College in that I would only campaign in 3 or 4--,9075,39419
2016-11-27 20:41:00+00:00,802975667197386752,states instead of the 15 states that I visited. I would have won even more easily and convincingly (but smaller states are forgotten)!,8468,39594
2016-11-28 00:31:00+00:00,803033642545115140,"Serious voter fraud in Virginia, New Hampshire and California - so why isn't the media reporting on this? Serious bias - big problem!",24693,83308
2016-11-28 14:02:00+00:00,803237535178772481,"If Cuba is unwilling to make a better deal for the Cuban people, the Cuban/American people and the U.S. as a whole, I will terminate deal.",19697,69163
2016-11-28 21:01:00+00:00,803343150907617284,Just met with General Petraeus--was very impressed!,11039,56944
2016-11-29 02:14:00+00:00,803421742815412224,"""@HighonHillcrest: @jeffzeleny what PROOF do u have DonaldTrump did not suffer from millions of FRAUD votes? Journalist? Do your job! @CNN""",6237,24374
2016-11-29 02:15:00+00:00,803422200594309120,"""@JoeBowman12: @jeffzeleny just another generic CNN part time wannabe journalist !""  @CNN still doesn't get it. They will never learn!",6001,25263
2016-11-29 02:19:00+00:00,803423203620245504,"""@FiIibuster: @jeffzeleny Pathetic - you have no sufficient evidence that Donald Trump did not suffer from voter fraud, shame! Bad reporter.",6116,26454
2016-11-29 02:21:00+00:00,803423503978532864,"""@sdcritic:  @HighonHillcrest @jeffzeleny @CNN There is NO QUESTION THAT #voterfraud did take place, and in favor of #CorruptHillary !""",7220,27116
2016-11-29 03:03:00+00:00,803434300846862336,".@CNN is so embarrassed by their total  (100%) support of Hillary Clinton, and yet her loss in a landslide, that they don't know what to do.",19729,74662
2016-11-29 11:15:00+00:00,803558077144399873,The Great State of Michigan was just certified as a Trump WIN giving all of our MAKE AMERICA GREAT AGAIN supporters another victory - 306!,17098,81551
2016-11-29 11:34:00+00:00,803562827776720896,"I thought that @CNN would get better after they failed so badly in their support of Hillary Clinton however, since election, they are worse!",14945,59833
2016-11-29 11:55:00+00:00,803567993036754944,"Nobody should be allowed to burn the American flag - if they do, there must be consequences - perhaps loss of citizenship or year in jail!",60444,182250
2016-11-29 20:08:00+00:00,803692055897788424,My thoughts and prayers are with the great people of Tennessee during these terrible wildfires. Stay safe!,23250,90429
2016-11-29 20:59:00+00:00,803704881278230528,"'President-Elect Donald J. Trump Intends to Nominate Congressman Tom Price and Seema Verma.'
https://t.co/ZTh5cuY26Z https://t.co/twIgAKJs3s",5335,20187
2016-11-29 23:37:00+00:00,803744769566339072,"'President-Elect Donald J. Trump Nominates Elaine Chao as Secretary of the Department of Transportation'
https://t.co/5FMGdhAZxB",5268,22889
2016-11-30 03:40:00+00:00,803805823503925250,I will be going to Indiana on Thursday to make a major announcement concerning Carrier A.C. staying in Indianapolis. Great deal for workers!,12614,59224
2016-11-30 03:50:00+00:00,803808454620094465,Big day on Thursday for Indiana and the great workers of that wonderful state.We will keep our companies and jobs in the U.S. Thanks Carrier,15167,70742
2016-11-30 11:20:00+00:00,803921522784092160,ISIS is taking credit for the terrible stabbing attack at Ohio State University by a Somali refugee who should not have been in our country.,27022,88486
2016-11-30 11:39:00+00:00,803926488579973120,I will be holding a major news conference in New York City with my children on December 15 to discuss the fact that I will be leaving my ...,9016,37310
2016-11-30 11:44:00+00:00,803927774784344064,great business in total in order to fully focus on running the country in order to MAKE AMERICA GREAT AGAIN! While I am not mandated to ....,8473,37341
2016-11-30 11:54:00+00:00,803930240661811200,"do this under the law, I feel it is visually important, as President,  to in no way have a conflict of interest with my various businesses..",9116,42362
2016-11-30 11:59:00+00:00,803931490514075648,"Hence, legal documents are being crafted which take me completely out of business operations. The Presidency is a far more important task!",13974,64385
2016-11-30 15:23:00+00:00,803982850081099776,"Join me in Cincinnati, Ohio tomorrow evening at 7:00pm. I am grateful for all of your support. THANK YOU!Tickets:... https://t.co/51Emq7Tffa",6498,25365
2016-11-30 16:21:00+00:00,803997374016167936,"'President-elect Donald J. Trump today announced his intent to nominate Steven Mnuchin, Wilbur Ross &, Todd Ricketts... https://t.co/cEBxoWsnYp",5686,21668
2016-11-30 20:00:00+00:00,804052438546317312,'Donald Trump is already helping the working class' https://t.co/GTuNcQhLYx,11714,43190
2016-12-01 03:48:00+00:00,804170300908781570,Look forward to going to Indiana tomorrow in order to be with the great workers of Carrier. They will sell many air conditioners!,10115,56485
2016-12-01 14:37:00+00:00,804333718999539712,My thoughts and prayers are with those affected by the tragic storms and tornadoes in the Southeastern United States. Stay safe!,9727,54936
2016-12-01 14:38:00+00:00,804333771021570048,Getting ready to leave for the Great State of Indiana and meet the hard working and wonderful people of Carrier A.C.,7850,47585
2016-12-01 22:52:00+00:00,804458095569158144,"Heading to U.S. Bank Arena in Cincinnati, Ohio for a 7pm rally. 
Join me! Tickets: https://t.co/HiWqZvHv6M",4394,25790
2016-12-02 02:45:00+00:00,804516764562374656,"Thank you Ohio! Together, we made history – and now, the real work begins. America will start winning again!... https://t.co/sVNSNJE7Uf",13979,60680
2016-12-03 00:44:00+00:00,804848711599882240,The President of Taiwan CALLED ME today to wish me congratulations on winning the Presidency. Thank you!,19760,92361
2016-12-03 01:41:00+00:00,804863098138005504,Interesting how the U.S. sells Taiwan billions of dollars of military equipment but I should not accept a congratulatory call.,30663,100987
2016-12-03 03:06:00+00:00,804884532671430658,Rexnord of Indiana is moving to Mexico and rather viciously firing all of its 300 workers. This is happening all over our country. No more!,13885,53035
2016-12-03 16:37:00+00:00,805088569765359616,"""@TigerWoods: Can’t wait to get back out there and mix it up with the boys. –TW #heroworldchallenge"" Great to have you back Tiger - Special!",7418,31446
2016-12-03 19:09:00+00:00,805126876779913216,State Treasurer John Kennedy is my choice for US Senator from Louisiana. Early voting today; election next Saturday.,7799,31981
2016-12-03 19:13:00+00:00,805127720749383680,"Our great VPE, @mike_pence, is in Louisiana campaigning for John Kennedy for US Senate. John will be a tremendous help to us in Washington.",7377,32342
2016-12-04 05:13:00+00:00,805278955150471168,"Just tried watching Saturday Night Live - unwatchable! Totally biased, not funny and the Baldwin impersonation just can't get any worse. Sad",21994,95049
2016-12-04 11:41:00+00:00,805376548882776064,"The U.S. is going to substantialy reduce taxes and regulations on businesses, but any business that leaves our country for another country,",10795,43759
2016-12-04 11:49:00+00:00,805378393537658880,"fires its employees, builds a new factory or plant in the other country, and then thinks it will sell its product back into the U.S.  ......",9389,37705
2016-12-04 11:57:00+00:00,805380553008680961,"without retribution or consequence, is WRONG! There will be a tax on our soon to be strong border of 35% for these companies ......",9615,39380
2016-12-04 12:05:00+00:00,805382541343653888,"wanting to sell their product, cars, A.C. units etc., back across the border. This tax will make leaving financially difficult, but.....",7551,32974
2016-12-04 12:21:00+00:00,805386422807105536,"these companies are able to move between all 50 states, with no tax or tariff being charged. Please be forewarned prior to making a very ...",8141,34448
2016-12-04 12:23:00+00:00,805387038048612356,expensive mistake! THE UNITED STATES IS OPEN FOR BUSINESS,11560,47357
2016-12-04 18:58:00+00:00,805486509914779649,The Green Party just dropped its recount suit in Pennsylvania and is losing votes in Wisconsin recount. Just a Stein scam to raise money!,19687,77603
2016-12-04 21:47:00+00:00,805528947190616065,".@FoxNews will be re-running ""Objectified: Donald Trump,"" the ratings hit produced by the great Harvey Levin of TMZ, at 8:00 P.M. Enjoy!",5175,25858
2016-12-04 22:23:00+00:00,805538149157969924,"Did China ask us if it was OK to devalue their currency (making it hard for our companies to compete), heavily tax our products going into..",16315,55248
2016-12-04 22:30:00+00:00,805539770864693253,their country (the U.S. doesn't tax them) or to build a massive military complex in the middle of the South China Sea?  I don't think so!,11371,42433
2016-12-05 13:53:00+00:00,805772007220645888,I am thrilled to nominate Dr. @RealBenCarson as our next Secretary of the US Dept. of Housing and Urban Development... https://t.co/OJKuDFhP3r,21917,90229
2016-12-05 16:00:00+00:00,805804034309427200,"If the press would cover me accurately & honorably, I would have far less reason to ""tweet."" Sadly, I don't know if that will ever happen!",30799,117537
2016-12-05 23:06:00+00:00,805911307270713348,#ThankYouTour2016 12/6- North Carolinahttps://t.co/79AHq3NC0v12/8- Iowahttps://t.co/1IuRTVwMSx12/9- Michiga... https://t.co/vcQaIJ8qoB,6513,22058
2016-12-06 13:52:00+00:00,806134244384899072,"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!",34704,118845
2016-12-06 16:45:00+00:00,806177746397306883,"Join me tonight in Fayetteville, North Carolina at 7pm! 
#ThankYouTour2016 
Tickets: https://t.co/79AHq3NC0v https://t.co/KoZCE7JeG7",5185,22138
2016-12-06 19:09:00+00:00,806214078465245185,"Masa (SoftBank) of Japan has agreed to invest $50 billion in the U.S. toward businesses and 50,000 new jobs....",22737,73539
2016-12-06 19:10:00+00:00,806214236053667842,Masa said he would never do this had we (Trump) not won the election!,10333,39630
2016-12-06 21:17:00+00:00,806246271405162500,"Departing New York with General James 'Mad Dog' Mattis for tonight's rally in Fayetteville, North Carolina! See you... https://t.co/Z8sgJBWI09",11305,58569
2016-12-07 03:33:00+00:00,806340792247795715,"A great night in Fayetteville, North Carolina. Thank you! #ICYMI watch here: https://t.co/ZAuTgxKPpb https://t.co/EF9xRWmciA",6162,30192
2016-12-07 12:18:00+00:00,806473064703725568,I will be interviewed on the @TODAYshow at 7:30. Enjoy!,4286,26518
2016-12-07 18:38:00+00:00,806568460620857349,"We pause today to remember the 2,403 American heroes who selflessly gave their lives at Pearl Harbor 75 years ago...
https://t.co/r5eRLR24Q3",14840,64774
